,Song name,Artist(s),Album,Genre,Released,Theme,
,,,,,,,
1,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,alternative ; indie,2017,love is painful,
2,People Watching,Conan Gray,Single,pop,2021,lonely,
3,Summerland,half alive,Single,alternative ; indie ; pop,2022,seasons pattern,
4,Rhinestone Eyes,Gorillaz,Plastic Beach,alternative ; indie ; electro,2010,fakeness,
5,Sleeping Powder,Gorillaz,Single,alternative ; indie,2017,drugs,
6,Hell n Back,Bakar,Will You Be My Yellow?,alternative ; indie,2019,love is painful,
7,My Hair Is Green,Youra,Single,k-pop,2018,drugs,
8,She's My Colar,Gorillaz,Humanz,alternative ; indie,2017,love is painful,
9,Still Feel.,half alive,*7,alternative ; indie ; pop,2019,losing yourself,
10, On Melancholy Hill,Gorillaz,Plastic Beach,alternative ; indie,2010,being lonely together ; love,
11,As It Was,Harry Styles,Harry;s House,pop,2022,nostalgia,
12,Strobelite,Gorillaz,Humanz,alternative ; indie,2017,drugs,
13,Sinister Kid,The Black Keys,Brothers,alternative ; indie ; blues,2010,darkness of world,
14,Night Ride,The Growlers,City Club,alternative ; indie,2016,adrenaline,
15,Softcore,The Neighbourhood,Single,electropop ; dance pop,2018,nostalgia ,
16,Feel Good Inc.,Gorillaz,Demon Days,alternative ; indie,2005,adrenaline ,
17,Lonely Boy,The Black Keys,El Camino,garage rock,2011,lonely,
18,Cigarettes Daydreams,Cage The Elephant,Melophobia,alternative ; indie,2013,honesty,
19,Cherry Flavoured,The Neighbourhood,Chip Chrome,alternative ; indie,2020,honesty,
20,Trouble,Cage The Elephant,Tell me I'm Pretty,alternative ; indie,2015,honesty,
21,Music To watch The Boys To,Lana Del Rey,Honeymoon,alternative ; indie ; pop,2015,love is painful,
22,Diet Mountain Dew,Lana Del Rey,Born To Diee,alternative ; indie ; pop,2012,confusion,
23,California Friends,The Regrettes,How Do You Love?,alternative ; indie ; pop,2019,adrenaline,
24,Telepatia,Kali Uchis,Sin miedo,pop,2020,love ,
25,Brooklyn Baby,Lana Del Rey,Ultraviolence,dance ; electronic,2014,love,
26,Witchcraft,Frank Sinatra,Single,swing,1957,love is painful,
27,"Sugar, We're Going Down",Arctic Monkey,from uder the table,alternative ; indie ; pop ; rock,2005,love,
